81.4723686393,90.5791937076,12.6986816294,91.3375856139,63.2359246225
71.5581108208,84.2840921664,15.7031912941,100.0000000000,72.2422478400
62.9955320190,91.9811073663,27.3465302590,100.0000000000,77.6109223235
54.7005853045,89.2836595318,38.1612407628,100.0000000000,86.3178739652
57.2234613258,79.4059551414,47.6438268802,100.0000000000,89.5356683658
62.2604552814,84.1507958479,47.9883672708,100.0000000000,83.2027665323
66.2807954053,74.6868711390,46.0268269701,92.6309676050,75.6578432846
72.5512933204,78.3847849470,44.5003649515,100.0000000000,66.9621460134
71.0511987611,75.7409723364,52.3107007145,100.0000000000,61.5521810181
70.9620217126,74.7682313864,57.7369609167,100.0000000000,67.8140096316
