81.4723686393,90.5791937076,12.6986816294,91.3375856139,63.2359246225
100.0000000000,100.0000000000,99.6821908892,100.0000000000,100.0000000000
100.0000000000,100.0000000000,100.0000000000,100.0000000000,100.0000000000
100.0000000000,100.0000000000,100.0000000000,100.0000000000,100.0000000000
100.0000000000,100.0000000000,100.0000000000,100.0000000000,100.0000000000
100.0000000000,100.0000000000,100.0000000000,100.0000000000,100.0000000000
100.0000000000,100.0000000000,100.0000000000,100.0000000000,100.0000000000
100.0000000000,100.0000000000,100.0000000000,100.0000000000,100.0000000000
100.0000000000,100.0000000000,100.0000000000,100.0000000000,100.0000000000
100.0000000000,100.0000000000,100.0000000000,100.0000000000,100.0000000000
